Município;Ano
Município;2024
Alta Floresta D'Oeste (RO);22853
Ariquemes (RO);108573
Cabixi (RO);5690
Cacoal (RO);97637
Cerejeiras (RO);16975
Colorado do Oeste (RO);16588
Corumbiara (RO);8001
Costa Marques (RO);13522
Espigão D'Oeste (RO);32717
Guajará-Mirim (RO);43553
Jaru (RO);55583
Ji-Paraná (RO);139359
Machadinho D'Oeste (RO);34063
Nova Brasilândia D'Oeste (RO);16504
Ouro Preto do Oeste (RO);38681
Pimenta Bueno (RO);39053
Porto Velho (RO);514873
Presidente Médici (RO);20518
Rio Crespo (RO);3753
Rolim de Moura (RO);62559
Santa Luzia D'Oeste (RO);7877
Vilhena (RO);108528
São Miguel do Guaporé (RO);22267
Nova Mamoré (RO);28496
Alvorada D'Oeste (RO);13837
Alto Alegre dos Parecis (RO);12263
Alto Paraíso (RO);17463
Buritis (RO);30729
Novo Horizonte do Oeste (RO);8056
Cacaulândia (RO);4345
Campo Novo de Rondônia (RO);9225
Candeias do Jamari (RO);24163
Castanheiras (RO);3456
Chupinguaia (RO);10129
Cujubim (RO);15883
Governador Jorge Teixeira (RO);8420
Itapuã do Oeste (RO);9209
Ministro Andreazza (RO);6657
Mirante da Serra (RO);9740
Monte Negro (RO);12241
Nova União (RO);6577
Parecis (RO);4390
Pimenteiras do Oeste (RO);2311
Primavera de Rondônia (RO);3279
São Felipe D'Oeste (RO);5605
São Francisco do Guaporé (RO);17511
Seringueiras (RO);12954
Teixeirópolis (RO);4536
Theobroma (RO);8540
Urupá (RO);11377
Vale do Anari (RO);8265
Vale do Paraíso (RO);6843
Acrelândia (AC);14657
Assis Brasil (AC);8573
Brasiléia (AC);27841
Bujari (AC);13766
Capixaba (AC);10922
Cruzeiro do Sul (AC);98382
Epitaciolândia (AC);19739
Feijó (AC);37644
Jordão (AC);9787
Mâncio Lima (AC);20329
Manoel Urbano (AC);12776
Marechal Thaumaturgo (AC);17951
Plácido de Castro (AC);17127
Porto Walter (AC);11275
Rio Branco (AC);387852
Rodrigues Alves (AC);15537
Santa Rosa do Purus (AC);7143
Senador Guiomard (AC);22352
Sena Madureira (AC);43916
Tarauacá (AC);46517
Xapuri (AC);19090
Porto Acre (AC);17455
Alvarães (AM);16670
Amaturá (AM);11411
Anamã (AM);10318
Anori (AM);17932
Apuí (AM);21735
Atalaia do Norte (AM);15892
Autazes (AM);45328
Barcelos (AM);18626
Barreirinha (AM);33436
Benjamin Constant (AM);40509
Beruri (AM);22136
Boa Vista do Ramos (AM);25769
Boca do Acre (AM);38246
Borba (AM);34879
Caapiranga (AM);14310
Canutama (AM);17885
Carauari (AM);30892
Careiro (AM);32442
Careiro da Várzea (AM);19809
Coari (AM);73820
Codajás (AM);24451
Eirunepé (AM);35534
Envira (AM);17920
Fonte Boa (AM);27875
Guajará (AM);14332
Humaitá (AM);62312
Ipixuna (AM);25458
Iranduba (AM);67114
Itacoatiara (AM);112520
Itamarati (AM);11730
Itapiranga (AM);10805
Japurá (AM);9397
Juruá (AM);11152
Jutaí (AM);27656
Lábrea (AM);48927
Manacapuru (AM);110691
Manaquiri (AM);17009
Manaus (AM);2279686
Manicoré (AM);57758
Maraã (AM);15843
Maués (AM);65714
Nhamundá (AM);21106
Nova Olinda do Norte (AM);28267
Novo Airão (AM);16467
Novo Aripuanã (AM);24987
