"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2023","5,713","5,765","5,765","5,675","82,92K","-0,64%"
"28.12.2023","5,750","5,645","5,750","5,645","123,71K","1,86%"
"27.12.2023","5,645","5,645","5,805","5,625","329,10K","-0,09%"
"26.12.2023","5,650","5,580","5,670","5,580","295,54K","1,80%"
"22.12.2023","5,550","5,540","5,580","5,535","556,90K","1,19%"
"21.12.2023","5,485","5,565","5,565","5,485","1,09M","0,64%"
"20.12.2023","5,450","5,585","5,585","5,450","185,40K","-2,33%"
"19.12.2023","5,580","5,560","5,610","5,560","223,43K","0,79%"
"18.12.2023","5,536","5,510","5,545","5,460","334,61K","2,05%"
"15.12.2023","5,425","5,395","5,500","5,380","182,00K","0,93%"
"14.12.2023","5,375","5,515","5,515","5,375","229,01K","0,09%"
"13.12.2023","5,370","5,165","5,370","5,085","269,34K","2,38%"
"12.12.2023","5,245","5,595","5,595","5,245","245,25K","-4,46%"
"11.12.2023","5,490","5,470","5,520","5,450","219,14K","0,18%"
"08.12.2023","5,480","5,485","5,540","5,465","162,18K","-0,09%"
"07.12.2023","5,485","5,423","5,485","5,410","115,47K","1,63%"
"06.12.2023","5,397","5,465","5,465","5,385","64,98K","-0,52%"
"05.12.2023","5,425","5,485","5,515","5,425","71,02K","0,74%"
"04.12.2023","5,385","5,540","5,555","5,385","121,98K","-3,06%"
"01.12.2023","5,555","5,448","5,555","5,440","459,01K","1,59%"
"30.11.2023","5,468","5,255","5,500","5,255","640,99K","2,21%"
"29.11.2023","5,350","5,315","5,400","5,315","261,83K","0,19%"
"28.11.2023","5,340","5,300","5,395","5,300","305,06K","1,23%"
"27.11.2023","5,275","5,250","5,275","5,180","243,58K","1,93%"
"24.11.2023","5,175","5,085","5,245","5,085","72,88K","-0,29%"
"22.11.2023","5,190","5,250","5,252","5,170","139,15K","-0,67%"
"21.11.2023","5,225","5,180","5,225","5,150","365,85K","1,26%"
"20.11.2023","5,160","5,100","5,175","5,100","170,46K","3,20%"
"17.11.2023","5,000","5,185","5,185","5,000","1,66M","-4,58%"
"16.11.2023","5,240","5,140","5,250","5,120","268,92K","1,06%"
"15.11.2023","5,185","5,065","5,220","5,065","50,51K","0,68%"
"14.11.2023","5,150","5,145","5,175","5,100","205,40K","-0,29%"
"13.11.2023","5,165","5,035","5,165","5,025","195,65K","1,77%"
"10.11.2023","5,075","5,045","5,100","5,045","128,79K","1,60%"
"09.11.2023","4,995","5,085","5,110","4,970","232,49K","-4,40%"
"08.11.2023","5,225","5,205","5,250","5,200","156,72K","0,58%"
"07.11.2023","5,195","5,225","5,232","5,135","252,92K","1,27%"
"06.11.2023","5,130","5,160","5,181","5,090","286,78K","0,29%"
"03.11.2023","5,115","4,985","5,141","4,985","289,84K","2,61%"
"02.11.2023","4,985","4,950","5,100","4,910","206,88K","1,53%"
"01.11.2023","4,910","4,817","4,910","4,790","37,11K","3,04%"
"31.10.2023","4,765","4,745","4,830","4,745","187,91K","-0,25%"
"30.10.2023","4,777","4,905","4,905","4,740","139,42K","-2,11%"
"27.10.2023","4,880","5,027","5,027","4,835","226,86K","-2,40%"
"26.10.2023","5,000","4,875","5,015","4,875","351,51K","2,77%"
"25.10.2023","4,865","4,920","4,920","4,855","395,20K","-1,72%"
"24.10.2023","4,950","4,885","4,957","4,850","180,87K","1,33%"
"23.10.2023","4,885","4,850","4,950","4,830","288,86K","0,72%"
"20.10.2023","4,850","4,920","4,930","4,850","207,93K","-1,72%"
"19.10.2023","4,935","4,865","4,965","4,845","346,50K","0,61%"
"18.10.2023","4,905","4,860","4,940","4,820","1,89M","0,20%"
"17.10.2023","4,895","4,875","4,985","4,855","319,90K","-1,31%"
"16.10.2023","4,960","4,840","4,960","4,840","491,37K","8,77%"
"13.10.2023","4,560","4,812","4,853","4,560","188,20K","-3,80%"
"12.10.2023","4,740","4,820","4,850","4,675","118,06K","-1,66%"
"11.10.2023","4,820","4,800","4,845","4,775","105,95K","0,63%"
"10.10.2023","4,790","4,750","4,808","4,730","263,18K","2,02%"
"09.10.2023","4,695","4,676","4,720","4,640","182,27K","-1,16%"
"06.10.2023","4,750","4,545","4,750","4,510","238,66K","6,03%"
"05.10.2023","4,480","4,590","4,600","4,480","135,80K","-0,55%"
"04.10.2023","4,505","4,505","4,565","4,440","114,39K","0,56%"
"03.10.2023","4,480","4,580","4,595","4,470","495,93K","-3,24%"
"02.10.2023","4,630","4,655","4,655","4,598","234,18K","-0,64%"
"29.09.2023","4,660","4,705","4,725","4,660","83,78K","1,30%"
"28.09.2023","4,600","4,565","4,742","4,565","450,42K","1,39%"
"27.09.2023","4,537","4,575","4,585","4,465","1,66M","-0,07%"
"26.09.2023","4,540","4,595","4,615","4,540","1,56M","-1,63%"
"25.09.2023","4,615","4,690","4,690","4,605","4,12M","-1,81%"
"22.09.2023","4,700","4,755","4,790","4,695","1,67M","0,21%"
"21.09.2023","4,690","4,780","4,795","4,690","262,75K","-3,60%"
"20.09.2023","4,865","4,880","4,950","4,865","416,90K","-0,82%"
"19.09.2023","4,905","4,835","4,935","4,795","320,07K","1,13%"
"18.09.2023","4,850","4,860","4,935","4,850","608,05K","0,52%"
"15.09.2023","4,825","4,850","4,870","4,805","164,48K","-0,82%"
"14.09.2023","4,865","4,815","4,910","4,809","176,24K","2,21%"
"13.09.2023","4,760","4,725","4,930","4,725","185,17K","-0,83%"
"12.09.2023","4,800","4,915","4,915","4,720","77,89K","1,16%"
"11.09.2023","4,745","4,645","4,820","4,645","122,29K","1,17%"
"08.09.2023","4,690","4,605","4,750","4,605","78,30K","2,18%"
"07.09.2023","4,590","4,775","4,775","4,585","94,68K","-2,75%"
"06.09.2023","4,720","4,705","4,850","4,700","88,11K","-0,63%"
"05.09.2023","4,750","4,775","4,850","4,725","1,21M","-0,42%"
"01.09.2023","4,770","4,850","4,980","4,760","474,18K","-0,10%"
"31.08.2023","4,775","4,897","4,975","4,775","132,84K","-3,44%"
"30.08.2023","4,945","5,023","5,023","4,940","176,69K","-1,69%"
"29.08.2023","5,030","5,008","5,085","5,003","898,78K","0,90%"
"28.08.2023","4,985","4,870","5,095","4,870","303,19K","2,26%"
"25.08.2023","4,875","4,895","4,905","4,820","603,72K","-2,60%"
"24.08.2023","5,005","5,125","5,125","4,965","254,29K","-0,30%"
"23.08.2023","5,020","5,048","5,125","5,015","187,40K","0,10%"
