"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2023","6,950","6,960","6,980","6,890","6,27M","-0,57%"
"28.12.2023","6,990","6,980","7,020","6,953","11,55M","-0,71%"
"27.12.2023","7,040","6,990","7,050","6,970","14,50M","0,72%"
"26.12.2023","6,990","6,860","7,010","6,850","16,50M","2,49%"
"22.12.2023","6,820","6,780","6,900","6,770","15,47M","1,49%"
"21.12.2023","6,720","6,720","6,750","6,670","10,50M","1,36%"
"20.12.2023","6,630","6,720","6,730","6,630","12,41M","-1,92%"
"19.12.2023","6,760","6,810","6,830","6,750","10,39M","0,60%"
"18.12.2023","6,720","6,640","6,740","6,600","11,63M","2,13%"
"15.12.2023","6,580","6,650","6,655","6,560","14,04M","-1,20%"
"14.12.2023","6,660","6,680","6,748","6,600","23,78M","0,60%"
"13.12.2023","6,620","6,440","6,630","6,395","21,37M","4,09%"
"12.12.2023","6,360","6,390","6,400","6,310","10,05M","-0,93%"
"11.12.2023","6,420","6,430","6,470","6,410","9,21M","-1,38%"
"08.12.2023","6,510","6,390","6,528","6,390","17,81M","0,77%"
"07.12.2023","6,460","6,390","6,460","6,340","22,61M","0,94%"
"06.12.2023","6,400","6,480","6,490","6,360","17,70M","-0,93%"
"05.12.2023","6,460","6,350","6,485","6,350","11,65M","1,57%"
"04.12.2023","6,360","6,400","6,450","6,330","8,13M","-1,09%"
"01.12.2023","6,430","6,340","6,450","6,310","11,43M","0,47%"
"30.11.2023","6,400","6,350","6,430","6,305","13,64M","0,47%"
"29.11.2023","6,370","6,330","6,410","6,330","15,80M","-0,16%"
"28.11.2023","6,380","6,255","6,390","6,240","21,89M","2,57%"
"27.11.2023","6,220","6,250","6,287","6,180","12,36M","0,16%"
"24.11.2023","6,210","6,260","6,290","6,180","10,70M","-1,43%"
"22.11.2023","6,300","6,325","6,350","6,260","17,25M","0,96%"
"21.11.2023","6,240","6,300","6,330","6,215","13,81M","-1,42%"
"20.11.2023","6,330","6,240","6,350","6,230","14,50M","1,93%"
"17.11.2023","6,210","6,170","6,240","6,150","11,32M","0,16%"
"16.11.2023","6,200","6,140","6,260","6,125","15,89M","0,81%"
"15.11.2023","6,150","6,170","6,200","6,125","10,21M","0,65%"
"14.11.2023","6,110","6,120","6,150","6,070","14,20M","2,69%"
"13.11.2023","5,950","5,950","5,990","5,920","12,35M","-1,49%"
"10.11.2023","6,040","5,970","6,080","5,960","18,95M","2,03%"
"09.11.2023","5,920","5,890","5,990","5,880","19,51M","0,34%"
"08.11.2023","5,900","5,955","5,955","5,860","13,11M","-0,51%"
"07.11.2023","5,930","5,870","5,987","5,870","22,77M","3,67%"
"06.11.2023","5,720","5,710","5,750","5,680","10,47M","0,35%"
"03.11.2023","5,700","5,630","5,750","5,620","13,75M","1,42%"
"02.11.2023","5,620","5,500","5,630","5,470","11,42M","3,50%"
"01.11.2023","5,430","5,350","5,475","5,345","13,81M","2,26%"
