URL,Tipo,Rua,Bairro,Cidade,Área,Quartos,Banheiros,Garagem,Aluguel,Condomínio,IPTU,Seguro Incêndio,Taxa de Serviço,Total,Código
https://www.quintoandar.com.br/imovel/894152928/alugar/apartamento-2-quartos-abolicao-rio-de-janeiro,Apartamento,Rua da Abolição,Abolição,Rio de Janeiro,54,2,1,-,"R$ 1.000,00","R$ 120,00","R$ 32,00","R$ 13,00",-,"R$ 1.165,00",1452928
https://www.quintoandar.com.br/imovel/894152928/alugar/apartamento-2-quartos-abolicao-rio-de-janeiro,Apartamento,Rua da Abolição,Abolição,Rio de Janeiro,54,2,1,-,"R$ 1.000,00","R$ 120,00","R$ 32,00","R$ 13,00",-,"R$ 1.165,00",1452928
https://www.quintoandar.com.br/imovel/894152928/alugar/apartamento-2-quartos-abolicao-rio-de-janeiro,Apartamento,Rua da Abolição,Abolição,Rio de Janeiro,54,2,1,-,"R$ 1.000,00","R$ 120,00","R$ 32,00","R$ 13,00",-,"R$ 1.165,00",1452928
https://www.quintoandar.com.br/imovel/894158006/alugar/apartamento-2-quartos-abolicao-rio-de-janeiro,Apartamento,Rua da Abolição,Abolição,Rio de Janeiro,56,2,1,-,"R$ 1.100,00","R$ 120,00","R$ 36,00","R$ 15,00",-,"R$ 1.271,00",1458006
https://www.quintoandar.com.br/imovel/894158006/alugar/apartamento-2-quartos-abolicao-rio-de-janeiro,Apartamento,Rua da Abolição,Abolição,Rio de Janeiro,56,2,1,-,"R$ 1.100,00","R$ 120,00","R$ 36,00","R$ 15,00",-,"R$ 1.271,00",1458006
https://www.quintoandar.com.br/imovel/894158006/alugar/apartamento-2-quartos-abolicao-rio-de-janeiro,Apartamento,Rua da Abolição,Abolição,Rio de Janeiro,56,2,1,-,"R$ 1.100,00","R$ 120,00","R$ 36,00","R$ 15,00",-,"R$ 1.271,00",1458006
https://www.quintoandar.com.br/imovel/894163887/alugar/kitnet-1-quarto-abolicao-rio-de-janeiro,Studio,Rua Figueiredo Pímentel,Abolição,Rio de Janeiro,40,1,1,-,"R$ 900,00",Incluso,"R$ 0,00","R$ 12,00","R$ 23,00","R$ 935,00",1463887
https://www.quintoandar.com.br/imovel/894163887/alugar/kitnet-1-quarto-abolicao-rio-de-janeiro,Studio,Rua Figueiredo Pímentel,Abolição,Rio de Janeiro,40,1,1,-,"R$ 900,00",Incluso,"R$ 0,00","R$ 12,00","R$ 23,00","R$ 935,00",1463887
https://www.quintoandar.com.br/imovel/894163887/alugar/kitnet-1-quarto-abolicao-rio-de-janeiro,Studio,Rua Figueiredo Pímentel,Abolição,Rio de Janeiro,40,1,1,-,"R$ 900,00",Incluso,"R$ 0,00","R$ 12,00","R$ 23,00","R$ 935,00",1463887
https://www.quintoandar.com.br/imovel/893272994/alugar/casa-2-quartos-abolicao-rio-de-janeiro,Casa,Rua Figueiredo Pimentel,Abolição,Rio de Janeiro,70,2,2,2 vagas,"R$ 1.325,00","R$ 190,00","R$ 144,00","R$ 23,00","R$ 34,00","R$ 1.716,00",572994
https://www.quintoandar.com.br/imovel/893272994/alugar/casa-2-quartos-abolicao-rio-de-janeiro,Casa,Rua Figueiredo Pimentel,Abolição,Rio de Janeiro,70,2,2,2 vagas,"R$ 1.325,00","R$ 190,00","R$ 144,00","R$ 23,00","R$ 34,00","R$ 1.716,00",572994
https://www.quintoandar.com.br/imovel/894161090/alugar/apartamento-2-quartos-abolicao-rio-de-janeiro,Apartamento,Rua Braulio Muniz,Abolição,Rio de Janeiro,60,2,2,-,"R$ 1.500,00","R$ 500,00","R$ 70,00","R$ 20,00","R$ 38,00","R$ 2.128,00",1461090
https://www.quintoandar.com.br/imovel/894161090/alugar/apartamento-2-quartos-abolicao-rio-de-janeiro,Apartamento,Rua Braulio Muniz,Abolição,Rio de Janeiro,60,2,2,-,"R$ 1.500,00","R$ 500,00","R$ 70,00","R$ 20,00","R$ 38,00","R$ 2.128,00",1461090
https://www.quintoandar.com.br/imovel/894161090/alugar/apartamento-2-quartos-abolicao-rio-de-janeiro,Apartamento,Rua Braulio Muniz,Abolição,Rio de Janeiro,60,2,2,-,"R$ 1.500,00","R$ 500,00","R$ 70,00","R$ 20,00","R$ 38,00","R$ 2.128,00",1461090
https://www.quintoandar.com.br/imovel/894161090/alugar/apartamento-2-quartos-abolicao-rio-de-janeiro,Apartamento,Rua Braulio Muniz,Abolição,Rio de Janeiro,60,2,2,-,"R$ 1.500,00","R$ 500,00","R$ 70,00","R$ 20,00","R$ 38,00","R$ 2.128,00",1461090
https://www.quintoandar.com.br/imovel/894179944/alugar/casa-3-quartos-andarai-rio-de-janeiro,Casa,Rua Irati,Andaraí,Rio de Janeiro,95,3,3,-,"R$ 2.400,00",Incluso,"R$ 0,00","R$ 41,00","R$ 62,00","R$ 2.503,00",1479944
https://www.quintoandar.com.br/imovel/894179944/alugar/casa-3-quartos-andarai-rio-de-janeiro,Casa,Rua Irati,Andaraí,Rio de Janeiro,95,3,3,-,"R$ 2.400,00",Incluso,"R$ 0,00","R$ 41,00","R$ 62,00","R$ 2.503,00",1479944
https://www.quintoandar.com.br/imovel/894179944/alugar/casa-3-quartos-andarai-rio-de-janeiro,Casa,Rua Irati,Andaraí,Rio de Janeiro,95,3,3,-,"R$ 2.400,00",Incluso,"R$ 0,00","R$ 41,00","R$ 62,00","R$ 2.503,00",1479944
https://www.quintoandar.com.br/imovel/894179944/alugar/casa-3-quartos-andarai-rio-de-janeiro,Casa,Rua Irati,Andaraí,Rio de Janeiro,95,3,3,-,"R$ 2.400,00",Incluso,"R$ 0,00","R$ 41,00","R$ 62,00","R$ 2.503,00",1479944
https://www.quintoandar.com.br/imovel/894185382/alugar/apartamento-3-quartos-andarai-rio-de-janeiro,Apartamento,Rua Uruguai,Andaraí,Rio de Janeiro,97,3,1,-,"R$ 1.000,00","R$ 1.628,00","R$ 91,00","R$ 13,00","R$ 25,00","R$ 2.757,00",1485382
https://www.quintoandar.com.br/imovel/894185382/alugar/apartamento-3-quartos-andarai-rio-de-janeiro,Apartamento,Rua Uruguai,Andaraí,Rio de Janeiro,97,3,1,-,"R$ 1.000,00","R$ 1.628,00","R$ 91,00","R$ 13,00","R$ 25,00","R$ 2.757,00",1485382
