data_venda,preco,tipo_imovel,numero_quartos
2011-02-07 0:00,525000,casa,4
2011-02-27 0:00,290000,casa,3
2011-03-07 0:00,328000,casa,3
2011-03-09 0:00,380000,casa,4
2011-03-21 0:00,310000,casa,3
2011-04-04 0:00,465000,casa,4
2011-04-24 0:00,399000,casa,3
2011-04-30 0:00,1530000,casa,4
2011-05-24 0:00,359000,casa,3
2011-05-25 0:00,320000,casa,3
2011-06-26 0:00,385000,casa,3
2011-06-27 0:00,305000,casa,3
2011-06-27 0:00,850000,casa,4
2011-06-28 0:00,765000,casa,4
2011-06-30 0:00,517000,casa,4
2011-07-02 0:00,800000,casa,5
2011-07-03 0:00,336000,casa,3
2011-07-06 0:00,535000,casa,5
2011-07-07 0:00,900000,casa,4
2011-07-08 0:00,327000,casa,1
2011-07-12 0:00,427500,casa,3
2011-07-13 0:00,780000,casa,3
2011-07-18 0:00,530000,casa,3
2011-07-18 0:00,590000,casa,3
2011-07-20 0:00,525000,casa,3
2011-07-20 0:00,549000,casa,4
2011-07-21 0:00,1780000,casa,4
2011-07-30 0:00,446000,casa,3
2011-07-30 0:00,558000,casa,4
2011-07-31 0:00,506000,casa,3
2011-07-31 0:00,520000,casa,4
2011-08-03 0:00,383000,casa,3
2011-08-03 0:00,520000,casa,3
2011-08-07 0:00,815000,casa,5
2011-08-10 0:00,545500,casa,3
2011-08-10 0:00,760000,casa,3
2011-08-11 0:00,520000,casa,3
2011-08-11 0:00,636000,casa,3
2011-08-14 0:00,625000,casa,4
2011-08-16 0:00,790000,casa,4
2011-08-21 0:00,320000,casa,3
2011-08-21 0:00,418000,casa,5
2011-08-21 0:00,455000,casa,4
2011-08-23 0:00,560000,casa,4
2011-08-24 0:00,585000,casa,4
2011-08-28 0:00,325000,casa,2
2011-08-28 0:00,420000,casa,4
2011-08-29 0:00,599000,casa,3
2011-08-30 0:00,315000,casa,2
2011-08-30 0:00,367000,casa,3
2011-08-31 0:00,348000,casa,3
2011-08-31 0:00,532500,casa,4
2011-09-03 0:00,465000,casa,3
2011-09-04 0:00,820000,casa,4
2011-09-06 0:00,590000,casa,3
2011-09-11 0:00,559000,casa,4
2011-09-15 0:00,446000,casa,4
2011-09-18 0:00,470000,casa,3
2011-09-20 0:00,396500,casa,4
2011-09-20 0:00,479000,casa,3
2011-09-21 0:00,1460000,casa,5
2011-09-22 0:00,500000,casa,4
2011-09-22 0:00,506000,casa,4
2011-09-22 0:00,520000,casa,4
2011-09-24 0:00,920000,casa,4
2011-09-27 0:00,507000,casa,4
2011-10-02 0:00,475000,casa,3
2011-10-09 0:00,397000,casa,3
2011-10-10 0:00,556000,casa,3
2011-10-12 0:00,447000,casa,4
2011-10-12 0:00,720000,casa,4
2011-10-15 0:00,273000,casa,1
2011-10-16 0:00,368000,casa,3
2011-10-16 0:00,385000,casa,3
2011-10-17 0:00,560000,casa,5
2011-10-19 0:00,455000,casa,4
2011-10-19 0:00,480000,casa,4
2011-10-24 0:00,300500,casa,3
2011-10-24 0:00,505000,casa,3
2011-10-25 0:00,135500,casa,1
2011-10-25 0:00,590000,casa,4
2011-10-25 0:00,645000,casa,5
2011-10-25 0:00,770000,casa,4
2011-10-26 0:00,1100000,casa,5
2011-11-02 0:00,365000,casa,3
2011-11-02 0:00,612500,casa,4
2011-11-05 0:00,472500,casa,4
2011-11-05 0:00,600000,casa,5
2011-11-07 0:00,372500,casa,3
2011-11-08 0:00,395000,casa,3
2011-11-08 0:00,497000,casa,2
2011-11-08 0:00,595000,casa,4
2011-11-12 0:00,465000,casa,2
2011-11-12 0:00,505000,casa,4
2011-11-16 0:00,379000,casa,3
2011-11-16 0:00,505000,casa,3
2011-11-17 0:00,380000,casa,3
2011-11-17 0:00,655000,casa,4
2011-11-17 0:00,760000,casa,3
2011-11-17 0:00,760500,casa,3
2011-11-20 0:00,442500,casa,4
2011-11-22 0:00,560000,casa,4
2011-11-23 0:00,560000,casa,4
2011-11-24 0:00,335000,casa,3
2011-11-24 0:00,575000,casa,3
2011-11-27 0:00,439000,casa,3
2011-11-29 0:00,308000,casa,1
2011-11-29 0:00,353000,casa,3
2011-11-30 0:00,425000,casa,3
2011-11-30 0:00,825000,casa,3
2011-12-01 0:00,930000,casa,5
2011-12-03 0:00,365000,casa,3
2011-12-03 0:00,387000,casa,3
2011-12-04 0:00,620000,casa,4
2011-12-05 0:00,825000,casa,3
2011-12-06 0:00,335000,casa,3
2011-12-07 0:00,350000,casa,3
2011-12-08 0:00,421000,casa,3
2011-12-08 0:00,545000,casa,4
2011-12-12 0:00,635000,casa,4
2011-12-13 0:00,357500,casa,3
2011-12-13 0:00,400000,casa,4
2011-12-13 0:00,1105000,casa,4
2011-12-14 0:00,259000,casa,2
2011-12-14 0:00,437500,casa,3
2011-12-15 0:00,530000,casa,4
2011-12-19 0:00,630000,casa,3
2011-12-20 0:00,615000,casa,4
2011-12-21 0:00,332000,casa,3
2011-12-21 0:00,490000,casa,3
2012-01-02 0:00,309000,casa,2
2012-01-14 0:00,413000,casa,3
2012-01-15 0:00,445000,casa,4
2012-01-15 0:00,600000,casa,4
2012-01-17 0:00,417500,casa,2
2012-01-17 0:00,462500,casa,4
2012-01-17 0:00,485000,casa,4
2012-01-18 0:00,580000,casa,4
2012-01-23 0:00,380000,casa,1
2012-01-24 0:00,560000,casa,4
2012-01-24 0:00,575000,casa,4
2012-01-24 0:00,1035000,casa,4
2012-01-30 0:00,485000,casa,3
2012-02-01 0:00,599000,casa,4
2012-02-04 0:00,349000,casa,3
2012-02-07 0:00,360000,casa,3
2012-02-07 0:00,375000,casa,3
2012-02-07 0:00,405000,casa,3
2012-02-08 0:00,395000,casa,3
2012-02-09 0:00,417000,casa,3
2012-02-09 0:00,560000,casa,3
2012-02-09 0:00,650000,casa,4
2012-02-11 0:00,416000,casa,4
2012-02-12 0:00,749000,casa,4
2012-02-15 0:00,575000,casa,4
2012-02-15 0:00,625000,casa,3
2012-02-16 0:00,610000,casa,5
2012-02-19 0:00,445000,casa,4
2012-02-21 0:00,655000,casa,5
2012-02-23 0:00,500000,casa,4
2012-02-23 0:00,515000,casa,2
2012-02-23 0:00,811000,casa,5
2012-02-27 0:00,590000,casa,4
2012-02-27 0:00,645000,casa,5
2012-02-27 0:00,730000,casa,4
2012-02-29 0:00,342000,casa,3
2012-02-29 0:00,471000,casa,4
2012-02-29 0:00,488000,casa,3
2012-03-13 0:00,646000,casa,4
2012-03-14 0:00,655000,casa,4
2012-03-15 0:00,580000,casa,3
2012-03-19 0:00,405000,casa,3
2012-03-20 0:00,695000,casa,4
2012-04-09 0:00,420000,casa,4
2012-04-09 0:00,503000,casa,3
2012-04-10 0:00,380000,casa,3
2012-04-11 0:00,334000,casa,3
2012-04-11 0:00,395000,casa,3
2012-04-11 0:00,467500,casa,4
2012-04-14 0:00,522500,casa,3
2012-04-14 0:00,635000,casa,5
2012-04-14 0:00,690000,casa,4
2012-04-14 0:00,780000,casa,4
2012-04-15 0:00,679000,casa,5
2012-04-18 0:00,467000,casa,3
2012-04-21 0:00,649000,casa,5
2012-04-22 0:00,675000,casa,4
2012-04-23 0:00,415000,casa,3
2012-04-23 0:00,445000,casa,4
2012-04-24 0:00,292500,casa,1
2012-04-24 0:00,450000,casa,3
2012-04-29 0:00,680000,casa,4
2012-04-29 0:00,950000,casa,4
2012-04-30 0:00,485000,casa,3
2012-05-01 0:00,640000,casa,4
2012-05-02 0:00,332000,casa,2
2012-05-02 0:00,622500,casa,4
2012-05-02 0:00,775000,casa,4
2012-05-05 0:00,575000,casa,2
2012-05-05 0:00,690000,casa,3
2012-05-09 0:00,465000,casa,3
2012-05-12 0:00,635000,casa,5
2012-05-13 0:00,307000,casa,2
2012-05-14 0:00,450000,casa,3
2012-05-16 0:00,442000,casa,3
2012-05-16 0:00,490000,casa,3
2012-05-17 0:00,865000,casa,5
2012-05-19 0:00,430000,casa,4
2012-05-23 0:00,444000,casa,3
2012-05-27 0:00,535000,casa,3
2012-05-28 0:00,542000,casa,4
2012-05-30 0:00,357000,casa,3
2012-06-02 0:00,429000,casa,3
2012-06-02 0:00,1180000,casa,4
2012-06-03 0:00,375000,casa,4
2012-06-06 0:00,526000,casa,3
2012-06-06 0:00,760000,casa,3
2012-06-10 0:00,447250,casa,3
2012-06-10 0:00,492500,casa,3
2012-06-10 0:00,727500,casa,4
2012-06-11 0:00,360100,casa,4
2012-06-11 0:00,750000,casa,3
2012-06-13 0:00,365000,casa,3
2012-06-13 0:00,670000,casa,4
2012-06-14 0:00,419000,casa,4
2012-06-14 0:00,515000,casa,3
2012-06-17 0:00,340000,casa,3
2012-06-17 0:00,600000,casa,4
2012-06-18 0:00,362000,casa,4
2012-06-19 0:00,765000,casa,5
2012-06-19 0:00,770000,casa,4
2012-06-20 0:00,469000,casa,4
2012-06-23 0:00,367000,casa,3
2012-06-24 0:00,465000,casa,4
2012-06-25 0:00,375000,casa,3
2012-06-25 0:00,505000,casa,4
2012-06-25 0:00,605000,casa,3
2012-06-26 0:00,325000,casa,3
2012-06-27 0:00,421000,casa,3
2012-06-27 0:00,550000,casa,4
2012-06-27 0:00,590000,casa,4
2012-06-29 0:00,522500,casa,4
2012-06-30 0:00,480000,casa,2
2012-06-30 0:00,1165000,casa,5
2012-07-01 0:00,670000,casa,4
2012-07-04 0:00,375000,casa,3
2012-07-07 0:00,392500,casa,4
2012-07-07 0:00,445000,casa,4
2012-07-08 0:00,383000,casa,3
2012-07-10 0:00,418000,casa,3
2012-07-10 0:00,860000,casa,2
2012-07-11 0:00,418000,casa,3
2012-07-11 0:00,442000,casa,4
2012-07-14 0:00,360000,casa,3
2012-07-14 0:00,495000,casa,4
2012-07-16 0:00,468000,casa,3
2012-07-16 0:00,605000,casa,3
2012-07-16 0:00,1090000,casa,4
2012-07-17 0:00,558000,casa,4
2012-07-18 0:00,700000,casa,3
2012-07-18 0:00,1300000,casa,4
2012-07-19 0:00,320000,casa,3
2012-07-23 0:00,415000,casa,3
2012-07-23 0:00,480000,casa,4
2012-07-23 0:00,553000,casa,4
2012-07-23 0:00,885000,casa,4
2012-07-25 0:00,370000,casa,4
2012-07-26 0:00,564000,casa,3
2012-07-28 0:00,365000,casa,3
2012-07-29 0:00,927000,casa,4
2012-07-30 0:00,360000,casa,3
2012-07-30 0:00,390000,casa,4
2012-07-31 0:00,440000,casa,4
2012-08-01 0:00,430000,casa,3
2012-08-01 0:00,595000,casa,3
2012-08-04 0:00,365000,casa,3
2012-08-04 0:00,585000,casa,3
2012-08-04 0:00,602500,casa,4
2012-08-05 0:00,359000,casa,3
2012-08-05 0:00,475000,casa,3
2012-08-06 0:00,315000,casa,3
2012-08-06 0:00,320000,casa,4
2012-08-06 0:00,325000,casa,4
2012-08-06 0:00,341000,casa,3
2012-08-06 0:00,540000,casa,4
2012-08-07 0:00,395000,casa,4
2012-08-09 0:00,370000,casa,3
2012-08-09 0:00,620000,casa,4
2012-08-09 0:00,631000,casa,4
2012-08-11 0:00,405000,casa,4
2012-08-12 0:00,548000,casa,3
2012-08-13 0:00,405000,casa,4
2012-08-13 0:00,420000,casa,3
2012-08-13 0:00,531500,casa,4
2012-08-14 0:00,350000,casa,2
2012-08-15 0:00,365000,casa,3
2012-08-15 0:00,375000,casa,3
2012-08-15 0:00,402000,casa,3
2012-08-15 0:00,420000,casa,3
2012-08-15 0:00,550000,casa,2
2012-08-15 0:00,585000,casa,4
2012-08-18 0:00,279500,casa,2
2012-08-19 0:00,330000,casa,3
2012-08-19 0:00,360000,casa,3
2012-08-19 0:00,370000,casa,3
2012-08-20 0:00,405000,casa,3
2012-08-21 0:00,395000,casa,3
2012-08-21 0:00,490000,casa,4
2012-08-21 0:00,530000,casa,5
2012-08-21 0:00,680000,casa,4
2012-08-22 0:00,495000,casa,4
2012-08-22 0:00,805000,casa,4
2012-08-23 0:00,630000,casa,4
2012-08-25 0:00,400000,casa,3
2012-08-27 0:00,345000,casa,3
2012-08-27 0:00,440000,casa,3
2012-08-27 0:00,510000,casa,4
2012-08-28 0:00,310000,casa,3
2012-08-29 0:00,370000,casa,4
2012-08-29 0:00,465000,casa,4
2012-08-30 0:00,342000,casa,3
2012-09-01 0:00,380000,casa,3
2012-09-02 0:00,345000,casa,3
2012-09-02 0:00,370000,casa,4
2012-09-02 0:00,495000,casa,4
2012-09-02 0:00,541000,casa,4
2012-09-02 0:00,1380000,casa,5
2012-09-03 0:00,372000,casa,3
2012-09-03 0:00,415000,casa,3
2012-09-04 0:00,335000,casa,3
2012-09-04 0:00,1150000,casa,5
2012-09-05 0:00,387000,casa,3
2012-09-05 0:00,395000,casa,3
2012-09-05 0:00,400000,casa,4
2012-09-05 0:00,426000,casa,3
2012-09-05 0:00,552000,casa,4
2012-09-08 0:00,349000,casa,3
2012-09-08 0:00,360500,casa,3
2012-09-08 0:00,740000,casa,3
2012-09-10 0:00,371600,casa,4
2012-09-11 0:00,380000,casa,3
2012-09-11 0:00,450000,casa,3
2012-09-12 0:00,427000,casa,4
2012-09-13 0:00,477000,casa,4
2012-09-13 0:00,479000,casa,3
2012-09-15 0:00,321000,casa,2
2012-09-15 0:00,405000,casa,3
2012-09-16 0:00,357000,casa,3
2012-09-16 0:00,360000,casa,4
2012-09-16 0:00,365000,casa,3
2012-09-16 0:00,585000,casa,4
2012-09-17 0:00,343000,casa,3
2012-09-17 0:00,410000,casa,3
2012-09-17 0:00,420000,casa,4
2012-09-17 0:00,420000,casa,3
2012-09-17 0:00,720000,casa,3
2012-09-17 0:00,720000,casa,5
2012-09-18 0:00,320000,casa,3
2012-09-18 0:00,474000,casa,4
2012-09-18 0:00,860000,casa,3
2012-09-19 0:00,460000,casa,3
2012-09-19 0:00,592000,casa,2
2012-09-19 0:00,695000,casa,5
2012-09-20 0:00,346000,casa,3
2012-09-22 0:00,349950,casa,3
2012-09-22 0:00,355000,casa,3
2012-09-22 0:00,362000,casa,3
2012-09-22 0:00,373000,casa,3
2012-09-22 0:00,399000,casa,4
2012-09-22 0:00,422250,casa,3
2012-09-22 0:00,445000,casa,3
2012-09-22 0:00,475000,casa,4
2012-09-22 0:00,485000,casa,5
2012-09-22 0:00,560500,casa,4
2012-09-22 0:00,590000,casa,4
2012-09-22 0:00,595000,casa,4
2012-09-22 0:00,650000,casa,3
2012-09-22 0:00,660000,casa,4
2012-09-22 0:00,675000,casa,4
2012-09-22 0:00,685000,casa,4
2012-09-22 0:00,690000,casa,4
2012-09-22 0:00,975000,casa,3
2012-09-23 0:00,372000,casa,3
2012-09-24 0:00,437000,casa,3
2012-09-25 0:00,411000,casa,3
2012-09-25 0:00,450000,casa,4
2012-09-25 0:00,525000,casa,2
2012-09-26 0:00,312000,casa,3
2012-09-26 0:00,510000,casa,4
2012-09-26 0:00,707500,casa,4
2012-09-26 0:00,755000,casa,4
2012-09-29 0:00,380000,casa,4
2012-09-29 0:00,389000,casa,3
2012-09-29 0:00,415000,casa,3
2012-09-29 0:00,557000,casa,4
2012-09-29 0:00,585000,casa,4
2012-09-29 0:00,595000,casa,2
2012-09-29 0:00,875000,casa,5
2012-09-30 0:00,367500,casa,4
2012-09-30 0:00,372000,casa,3
2012-09-30 0:00,549000,casa,3
2012-09-30 0:00,575000,casa,4
2012-09-30 0:00,594000,casa,4
2012-09-30 0:00,662500,casa,2
2012-10-01 0:00,455000,casa,4
2012-10-02 0:00,390000,casa,3
2012-10-03 0:00,332000,casa,3
2012-10-03 0:00,380000,casa,3
2012-10-03 0:00,405000,casa,4
2012-10-03 0:00,460000,casa,4
2012-10-07 0:00,355000,casa,3
2012-10-07 0:00,473000,casa,4
2012-10-07 0:00,560000,casa,4
2012-10-08 0:00,347000,casa,3
2012-10-08 0:00,359950,casa,3
2012-10-08 0:00,1030000,casa,3
2012-10-09 0:00,338500,casa,3
2012-10-10 0:00,378000,casa,3
2012-10-10 0:00,400000,casa,4
2012-10-10 0:00,453000,casa,4
2012-10-10 0:00,476600,casa,4
2012-10-10 0:00,677500,casa,4
2012-10-10 0:00,749950,casa,4
2012-10-12 0:00,390000,casa,3
2012-10-13 0:00,435000,casa,3
2012-10-13 0:00,507500,casa,4
2012-10-14 0:00,350000,casa,3
2012-10-14 0:00,399000,casa,3
2012-10-14 0:00,420000,casa,4
2012-10-14 0:00,450000,casa,3
2012-10-14 0:00,525000,casa,2
2012-10-14 0:00,595000,casa,4
2012-10-14 0:00,910000,casa,3
2012-10-15 0:00,395000,casa,3
2012-10-15 0:00,552500,casa,3
2012-10-16 0:00,375000,casa,3
