ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2020-04-21T12:21:52Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,150361,ZZ,189.60.247.87,No Meu Corpo Cê Não Kicka Mais - Ao Vivo,Lucas Lucco,A Origem (Ao Vivo),spotify:track:14qw8YcJSWUFcNU1uefunr,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T12:24:28Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,156165,ZZ,189.60.247.87,Esquema Certo (Eu Tô Solteiro) - Ao Vivo,Lucas Lucco,A Origem (Ao Vivo),spotify:track:5jPK08qA5onBmtIIqgz2s0,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T12:27:43Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,164397,ZZ,189.60.247.87,Paredão - Ao Vivo,Lucas Lucco,A Origem (Ao Vivo),spotify:track:2VAXUPDcvtqPgZXhDoCXc7,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T12:28:12Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,29541,ZZ,189.60.247.87,Totalmente Alteradinha (feat. Maiara & Maraisa) - Ao Vivo,Lucas Lucco,A Origem (Ao Vivo),spotify:track:5hHbyEZrbxted0VO5SitDi,,,,,,,,trackdone,endplay,False,False,False,,False
2020-04-21T12:31:25Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,190583,ZZ,189.60.247.87,10 Anos - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:5ohqhIfOYly0ijyCos7Q6x,,,,,,,,clickrow,endplay,False,False,False,,False
2020-04-21T12:34:50Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,203740,ZZ,189.60.247.87,Cem Mil - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:5eMmT4Ava5BGThju0AD8vQ,,,,,,,,clickrow,trackdone,False,False,False,,False
2020-04-21T12:37:48Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,178880,ZZ,189.60.247.87,Final do Fim - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:7lFIIsrumeMTRD18u9uZBD,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T12:40:19Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,151033,ZZ,189.60.247.87,Carrinho Na Areia - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:126x7SdXVva2Dqh2is2CEe,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T12:43:27Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,187147,ZZ,189.60.247.87,Tudo Que Vai um Dia Volta - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:2lTY3UNgi1GpGu0MDyAHZl,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T12:45:58Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,150867,ZZ,189.60.247.87,Expectativa - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:5bE0rKr5yk3g7wkLxRwE67,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T12:49:13Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,195400,ZZ,189.60.247.87,Eu Vou Te Buscar (Cha La La La La) - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:61gXJEntPhxtr7BIzjqdGx,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T12:52:45Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,212008,ZZ,189.60.247.87,10 Anos - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:5ohqhIfOYly0ijyCos7Q6x,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T12:56:38Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,232283,ZZ,189.60.247.87,Que Pena Que Acabou - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:1ohjtEev34t2qrrkg9p5mE,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:00:25Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,197504,ZZ,189.60.247.87,Por Covardia Minha - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:39oQaTwoy6v6uGKxpXiWbO,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:03:32Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,187183,ZZ,189.60.247.87,Respeita o Nosso Fim - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:1F46LaY3gYpvL2r534FeWs,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:06:22Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,170000,ZZ,189.60.247.87,Zé da Recaída - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:7uU04pPMnKELpv8mIJ3yLa,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:09:45Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,202796,ZZ,189.60.247.87,DNA - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:0Y5472rSZNp5w966ZkFG3a,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:13:37Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,172442,ZZ,189.60.247.87,O Resto É Resto - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:2PbQHe7hjLha67hBDlGkrh,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:16:06Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,148692,ZZ,189.60.247.87,Conta Gotas - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:25a5snI2oABHeflZaeDF1O,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:19:04Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,178208,ZZ,189.60.247.87,Sujeito - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:2AuQcbltEHog9kOv9Ms3W3,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:22:22Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,197767,ZZ,189.60.247.87,Eu Não Iria - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:09Q3su74ehVmR87tA3msB9,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:23:34Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,72479,ZZ,189.60.247.87,Na Hora de Amar - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:1xCpKtc4kC9sgF0FRc43u2,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2020-04-21T13:25:06Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,61032,ZZ,189.60.247.87,Mil Vezes Cantarei - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:7mZEur2Re8vHsEBRdMk4fL,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2020-04-21T13:25:09Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,2758,ZZ,189.60.247.87,Mundo de Ilusões - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:1RZv4qMqe4Cnd61GLdNBc0,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2020-04-21T13:29:56Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,203740,ZZ,189.60.247.87,Cem Mil - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:5eMmT4Ava5BGThju0AD8vQ,,,,,,,,fwdbtn,trackdone,False,False,False,,False
2020-04-21T13:32:55Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,178880,ZZ,189.60.247.87,Final do Fim - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:7lFIIsrumeMTRD18u9uZBD,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:35:26Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,151033,ZZ,189.60.247.87,Carrinho Na Areia - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:126x7SdXVva2Dqh2is2CEe,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:38:33Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,187147,ZZ,189.60.247.87,Tudo Que Vai um Dia Volta - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:2lTY3UNgi1GpGu0MDyAHZl,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:41:04Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,150867,ZZ,189.60.247.87,Expectativa - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:5bE0rKr5yk3g7wkLxRwE67,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:44:19Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,195400,ZZ,189.60.247.87,Eu Vou Te Buscar (Cha La La La La) - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:61gXJEntPhxtr7BIzjqdGx,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:47:51Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,212008,ZZ,189.60.247.87,10 Anos - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:5ohqhIfOYly0ijyCos7Q6x,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:51:43Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,232283,ZZ,189.60.247.87,Que Pena Que Acabou - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:1ohjtEev34t2qrrkg9p5mE,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:55:01Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,197504,ZZ,189.60.247.87,Por Covardia Minha - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:39oQaTwoy6v6uGKxpXiWbO,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T13:58:08Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,187183,ZZ,189.60.247.87,Respeita o Nosso Fim - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:1F46LaY3gYpvL2r534FeWs,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T14:00:58Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,170000,ZZ,189.60.247.87,Zé da Recaída - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:7uU04pPMnKELpv8mIJ3yLa,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T14:04:21Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,202796,ZZ,189.60.247.87,DNA - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:0Y5472rSZNp5w966ZkFG3a,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T14:07:43Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,172442,ZZ,189.60.247.87,O Resto É Resto - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:2PbQHe7hjLha67hBDlGkrh,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T14:10:12Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,62291,ZZ,189.60.247.87,Conta Gotas - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:25a5snI2oABHeflZaeDF1O,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T14:13:10Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,72422,ZZ,189.60.247.87,Sujeito - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:2AuQcbltEHog9kOv9Ms3W3,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T14:16:28Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,197767,ZZ,189.60.247.87,Eu Não Iria - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:09Q3su74ehVmR87tA3msB9,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T14:17:29Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,61283,ZZ,189.60.247.87,Na Hora de Amar - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:1xCpKtc4kC9sgF0FRc43u2,,,,,,,,trackdone,fwdbtn,False,False,False,,False
2020-04-21T14:22:46Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,286533,ZZ,189.60.247.87,Mil Vezes Cantarei - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:7mZEur2Re8vHsEBRdMk4fL,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T14:26:49Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,242458,ZZ,189.60.247.87,Mundo de Ilusões - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:1RZv4qMqe4Cnd61GLdNBc0,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T14:30:12Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,203740,ZZ,189.60.247.87,Cem Mil - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:5eMmT4Ava5BGThju0AD8vQ,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T14:33:11Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,178880,ZZ,189.60.247.87,Final do Fim - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:7lFIIsrumeMTRD18u9uZBD,,,,,,,,trackdone,trackdone,False,False,False,,False
2020-04-21T14:34:23Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,71267,ZZ,189.60.247.87,Carrinho Na Areia - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:126x7SdXVva2Dqh2is2CEe,,,,,,,,trackdone,remote,False,False,False,,False
2020-04-21T14:34:23Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,71267,ZZ,189.60.247.87,Carrinho Na Areia - Ao Vivo,Gusttavo Lima,O Embaixador (ao Vivo),spotify:track:126x7SdXVva2Dqh2is2CEe,,,,,,,,trackdone,remote,False,False,False,,False
2020-04-21T17:44:49Z,Partner windows_tv microsoft;xbox_one_s;1fc2d01aa9074dde950e8d3dc0eb1729;;tpapi,6553,ZZ,189.60.247.87,Esquema Certo (Eu Tô Solteiro) - Ao Vivo,Lucas Lucco,A Origem (Ao Vivo),spotify:track:5jPK08qA5onBmtIIqgz2s0,,,,,,,,remote,fwdbtn,False,False,False,,False
