ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2022-10-25T09:34:05Z,android,15597,BR,189.60.204.6,,,,,Os Sócios 100 - Respondendo Perguntas,Os Sócios Podcast,spotify:episode:4Cjywj4YlpwAsY1reUNqlW,,,,,clickrow,endplay,False,True,,,False
2022-10-25T09:35:26Z,android,68122,BR,189.60.204.6,,,,,O BRASIL REALMENTE SE TORNOU UM PORTO SEGURO PARA INVESTIR? | Os Economistas 34,Os Economistas Podcast ,spotify:episode:5L9NbZqNByzZdnOqny5dbG,,,,,clickrow,endplay,False,True,,,False
2022-11-25T10:41:55Z,android,1611730,BR,179.242.48.125,,,,,Os Sócios 107 - O Segredo para Viver de Dividendos,Os Sócios Podcast,spotify:episode:79LQmFBHffHYYGtTDGjEIf,,,,,clickrow,endplay,False,True,,,False
2022-11-30T17:20:07Z,android,4389,BR,189.60.204.6,Pretend My Pain Away,Citizen Soldier,Pretend My Pain Away,spotify:track:2FOexjwJD8aj7rx59eWebZ,,,,,,,,unknown,endplay,False,True,,,False
2022-11-30T17:20:13Z,android,970,BR,189.60.204.6,Killing Time,Papa Roach,Ego Trip,spotify:track:3UXbL3M5YDaHW5D9juPIOc,,,,,,,,unknown,endplay,False,True,,,False
2022-11-30T17:22:37Z,android,10860,BR,189.60.204.6,Sinner,Of Virtue,Sinner,spotify:track:2Pf0u0mhGSxayM79Vy4LoT,,,,,,,,unknown,endplay,False,True,,,False
2022-11-30T17:22:41Z,android,2091,BR,189.60.204.6,Separate Ways,Eva Under Fire,Blow EP,spotify:track:62eNYg3cHHfr1ThVxe2vaM,,,,,,,,unknown,endplay,False,True,,,False
2022-11-30T17:22:45Z,android,4198,BR,189.60.204.6,Esconde O Celular,John Amplificado,Esconde O Celular,spotify:track:5d5TTXevwqr1oOMZnA1v6K,,,,,,,,unknown,endplay,False,True,,,False
2022-11-30T17:22:47Z,android,3081,BR,189.60.204.6,Ô Lá na Roça - Ao Vivo,Felipe & Murillo,Ô Lá na Roça,spotify:track:71VNsncPcTfQiklVO9uXfB,,,,,,,,unknown,endplay,False,True,,,False
2022-11-30T17:22:51Z,android,2391,BR,189.60.204.6,Disconnected,ALESTI,Disconnected,spotify:track:4n8GRRVnxw6mjMWjKZ9eqR,,,,,,,,unknown,endplay,False,True,,,False
2022-11-30T17:22:56Z,android,0,BR,189.60.204.6,Boca Ocupada,Cleber & Cauan,Cleber & Cauan No Rio Quente,spotify:track:36mUWhjTM3GNpncYy7RR6z,,,,,,,,unknown,endplay,False,True,,,False
