ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2016-06-16T19:49:23Z,"Android OS 6.0.1 API 23 (LGE, Nexus 5)",74783,BR,179.210.109.187,Poison,Asking Alexandria,From Death To Destiny,spotify:track:5um5Q5DCZ26Hm1az7JnTn5,,,,,,,,clickrow,endplay,False,False,False,,False
2016-06-16T19:49:25Z,"Android OS 6.0.1 API 23 (LGE, Nexus 5)",1692,BR,179.210.109.187,Just Keep Breathing,We Came As Romans,Understanding What We've Grown to Be (Deluxe Edition),spotify:track:2QoBox7VjtqAHvHA2jKa6o,,,,,,,,clickrow,endplay,False,False,False,,False
2016-06-16T19:51:37Z,"Android OS 6.0.1 API 23 (LGE, Nexus 5)",131574,BR,179.210.109.187,Hope,We Came As Romans,Understanding What We've Grown to Be (Deluxe Edition),spotify:track:0IjqvPyctsYf3ASQPHWBvB,,,,,,,,clickrow,endplay,False,False,False,,False
2016-06-16T19:51:46Z,"Android OS 6.0.1 API 23 (LGE, Nexus 5)",8238,BR,179.210.109.187,"Someone, Somewhere",Asking Alexandria,Reckless And Relentless,spotify:track:5wzV35hpLeZCz9aBSAWBcY,,,,,,,,clickrow,endplay,False,False,False,,False
2016-06-16T19:51:57Z,"Android OS 6.0.1 API 23 (LGE, Nexus 5)",9575,BR,179.210.109.187,Welcome,Asking Alexandria,Reckless And Relentless,spotify:track:1ABQhO4M8Gmgd2CEc3A183,,,,,,,,clickrow,fwdbtn,False,False,False,,False
2016-06-16T19:52:01Z,"Android OS 6.0.1 API 23 (LGE, Nexus 5)",2535,BR,179.210.109.187,Dear Insanity,Asking Alexandria,Reckless And Relentless,spotify:track:5jwttcPG6hynYxMs4mqOMp,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2016-06-16T19:52:08Z,"Android OS 6.0.1 API 23 (LGE, Nexus 5)",7100,BR,179.210.109.187,Closure,Asking Alexandria,Reckless And Relentless,spotify:track:5BODRfhgnHa4I5rDrkxs3x,,,,,,,,fwdbtn,fwdbtn,False,False,False,,False
2016-06-16T19:52:23Z,"Android OS 6.0.1 API 23 (LGE, Nexus 5)",13555,BR,179.210.109.187,To The Stage,Asking Alexandria,Reckless And Relentless,spotify:track:1zalQPA3y0Latbiis4motB,,,,,,,,fwdbtn,endplay,True,False,False,,False
2016-06-16T19:53:04Z,"Android OS 6.0.1 API 23 (LGE, Nexus 5)",40594,BR,179.210.109.187,Move It,Down & Dirty,Move It,spotify:track:12EhOKHAvqXDMilwuVwrCH,,,,,,,,clickrow,fwdbtn,True,False,False,,False
2016-06-16T19:53:05Z,"Android OS 6.0.1 API 23 (LGE, Nexus 5)",1307,BR,179.210.109.187,Move It,Down & Dirty,Move It,spotify:track:12EhOKHAvqXDMilwuVwrCH,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
2016-06-16T19:53:07Z,"Android OS 6.0.1 API 23 (LGE, Nexus 5)",1184,BR,179.210.109.187,Move It,Down & Dirty,Move It,spotify:track:12EhOKHAvqXDMilwuVwrCH,,,,,,,,fwdbtn,fwdbtn,True,False,False,,False
