"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2023","9,01","9,06","9,20","8,93","4,22K","1,46%"
"28.12.2023","8,88","8,90","9,12","8,88","3,49K","-0,45%"
"27.12.2023","8,92","9,12","9,20","8,90","7,23K","-1,98%"
"26.12.2023","9,10","9,01","9,20","8,95","5,34K","1,11%"
"22.12.2023","9,00","9,00","9,16","9,00","5,34K","-1,21%"
"21.12.2023","9,11","8,76","9,14","8,76","27,06K","5,93%"
"20.12.2023","8,60","9,13","9,13","8,60","170,56K","-8,80%"
"19.12.2023","9,43","9,30","9,50","8,85","13,40K","3,97%"
"18.12.2023","9,07","9,25","9,30","8,94","16,24K","-2,79%"
"15.12.2023","9,33","9,03","9,33","8,80","51,89K","0,00%"
"14.12.2023","9,33","8,96","9,42","8,82","9,93K","6,26%"
"13.12.2023","8,78","8,27","9,03","8,27","11,56K","4,52%"
"12.12.2023","8,40","8,71","8,71","8,25","13,89K","-0,12%"
"11.12.2023","8,41","8,30","8,70","8,28","5,34K","4,08%"
"08.12.2023","8,08","8,22","8,43","8,00","67,94K","-2,65%"
"07.12.2023","8,30","8,19","8,65","8,06","28,37K","0,97%"
"06.12.2023","8,22","8,15","8,36","7,91","5,21K","-1,79%"
"05.12.2023","8,37","8,13","8,37","7,96","65,72K","4,10%"
"04.12.2023","8,04","8,14","8,21","8,03","271,80K","-6,62%"
"01.12.2023","8,61","7,91","8,61","7,91","128,17K","4,74%"
"30.11.2023","8,22","8,30","8,34","7,82","956,75K","1,11%"
"29.11.2023","8,13","8,33","8,33","8,02","20,92K","0,74%"
"28.11.2023","8,07","7,92","8,29","7,91","64,96K","-1,10%"
"27.11.2023","8,16","7,85","8,16","7,57","28,62K","2,26%"
"24.11.2023","7,98","8,04","8,06","7,96","3,86K","0,50%"
"22.11.2023","7,94","8,10","8,35","7,81","44,60K","-2,58%"
"21.11.2023","8,15","7,84","8,15","7,84","5,45K","-2,04%"
"20.11.2023","8,32","8,03","8,32","7,90","10,76K","-0,72%"
"17.11.2023","8,38","8,24","8,96","7,83","16,90K","5,81%"
"16.11.2023","7,92","7,92","8,12","7,77","301,80K","1,93%"
"15.11.2023","7,77","7,82","8,15","7,47","4,58K","0,26%"
"14.11.2023","7,75","7,80","8,00","7,73","77,76K","1,57%"
"13.11.2023","7,63","7,50","7,88","7,40","7,31K","-3,17%"
"10.11.2023","7,88","7,58","7,88","7,58","17,84K","6,06%"
"09.11.2023","7,43","7,50","7,70","7,43","13,24K","-1,46%"
"08.11.2023","7,54","7,62","7,62","7,49","16,78K","-0,79%"
"07.11.2023","7,60","7,52","8,02","7,50","697,82K","1,47%"
"06.11.2023","7,49","7,72","7,72","7,35","909,03K","1,49%"
"03.11.2023","7,38","7,37","7,78","6,81","117,49K","2,79%"
