"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2023","15,86","15,81","15,87","15,68","9,24M","-0,19%"
"28.12.2023","15,89","15,94","16,02","15,89","9,43M","-0,75%"
"27.12.2023","16,01","15,96","16,08","15,94","12,39M","0,50%"
"26.12.2023","15,93","15,97","16,05","15,92","13,12M","1,21%"
"22.12.2023","15,74","15,92","15,92","15,69","15,43M","-0,19%"
"21.12.2023","15,77","15,64","15,84","15,63","17,25M","3,89%"
"20.12.2023","15,18","15,40","15,43","15,17","18,30M","-1,17%"
"19.12.2023","15,36","15,36","15,44","15,33","21,98M","1,05%"
"18.12.2023","15,20","15,04","15,23","15,03","20,64M","1,60%"
"15.12.2023","14,96","14,99","15,01","14,90","17,74M","-0,07%"
"14.12.2023","14,97","14,98","15,16","14,96","25,03M","0,88%"
"13.12.2023","14,84","14,66","14,89","14,51","24,98M","1,30%"
"12.12.2023","14,65","14,80","14,82","14,60","13,80M","-0,88%"
"11.12.2023","14,78","14,60","14,82","14,51","16,24M","0,68%"
"08.12.2023","14,68","14,68","14,87","14,66","16,26M","-1,01%"
"07.12.2023","14,83","14,85","14,86","14,74","16,37M","0,95%"
"06.12.2023","14,69","14,98","14,99","14,68","14,78M","-0,20%"
"05.12.2023","14,72","14,72","14,79","14,59","17,15M","-0,54%"
"04.12.2023","14,80","15,11","15,12","14,73","28,98M","-3,71%"
"01.12.2023","15,37","15,12","15,47","15,08","26,44M","2,47%"
"30.11.2023","15,00","14,99","15,04","14,90","14,31M","0,40%"
"29.11.2023","14,94","14,96","15,02","14,85","13,49M","-0,99%"
"28.11.2023","15,09","14,81","15,11","14,79","15,45M","1,34%"
"27.11.2023","14,89","15,07","15,08","14,82","22,37M","-1,13%"
"24.11.2023","15,06","15,11","15,16","15,02","12,79M","-0,99%"
"22.11.2023","15,21","15,50","15,53","15,10","45,92M","-4,16%"
"21.11.2023","15,87","15,87","16,02","15,75","28,57M","1,41%"
"20.11.2023","15,65","15,51","15,76","15,50","34,52M","3,37%"
"17.11.2023","15,14","15,15","15,27","15,10","18,14M","-0,39%"
"16.11.2023","15,20","15,10","15,25","15,02","22,66M","0,86%"
"15.11.2023","15,07","15,24","15,25","15,02","15,93M","-0,59%"
"14.11.2023","15,16","15,00","15,25","14,97","25,83M","4,77%"
"13.11.2023","14,47","14,54","14,56","14,43","12,43M","-0,82%"
"10.11.2023","14,59","14,46","14,61","14,36","18,86M","2,39%"
"09.11.2023","14,25","14,40","14,52","14,21","16,80M","0,07%"
"08.11.2023","14,24","14,41","14,48","14,21","20,33M","-0,49%"
"07.11.2023","14,31","14,59","14,59","14,27","28,18M","-2,05%"
"06.11.2023","14,61","14,63","14,69","14,56","20,10M","0,55%"
"03.11.2023","14,53","14,52","14,69","14,52","18,73M","0,28%"
"02.11.2023","14,49","14,39","14,58","14,35","19,66M","2,11%"
"01.11.2023","14,19","13,88","14,24","13,88","36,95M","3,50%"
"31.10.2023","13,71","13,43","13,75","13,40","16,26M","1,41%"
"30.10.2023","13,52","13,79","13,83","13,50","27,78M","0,22%"
"27.10.2023","13,49","13,20","13,69","13,19","51,34M","3,53%"
"26.10.2023","13,03","12,76","13,08","12,73","34,97M","2,44%"
"25.10.2023","12,72","12,95","13,00","12,71","20,99M","-0,93%"
"24.10.2023","12,84","12,68","12,84","12,65","20,91M","3,22%"
"23.10.2023","12,44","12,39","12,56","12,32","20,21M","0,24%"
"20.10.2023","12,41","12,42","12,51","12,27","37,49M","-2,74%"
"19.10.2023","12,76","12,86","12,95","12,73","27,02M","-1,09%"
"18.10.2023","12,90","13,27","13,28","12,89","26,64M","-4,16%"
"17.10.2023","13,46","13,15","13,53","13,14","19,04M","0,82%"
"16.10.2023","13,35","13,29","13,40","13,23","12,85M","1,99%"
"13.10.2023","13,09","13,20","13,32","13,04","14,99M","-0,08%"
"12.10.2023","13,10","13,40","13,44","13,01","17,74M","-2,02%"
"11.10.2023","13,37","13,27","13,39","13,18","15,54M","1,29%"
"10.10.2023","13,20","13,13","13,24","13,09","13,86M","2,64%"
"09.10.2023","12,86","12,79","12,91","12,65","13,50M","-0,92%"
"06.10.2023","12,98","12,71","13,07","12,69","19,68M","1,56%"
"05.10.2023","12,78","12,72","12,89","12,66","15,37M","0,16%"
"04.10.2023","12,76","12,86","12,95","12,70","15,00M","-0,93%"
"03.10.2023","12,88","13,03","13,18","12,84","15,29M","-2,57%"
"02.10.2023","13,22","13,33","13,36","13,11","13,76M","-1,34%"
"29.09.2023","13,40","13,43","13,51","13,33","13,52M","1,28%"
"28.09.2023","13,23","13,06","13,28","13,01","26,47M","1,85%"
"27.09.2023","12,99","13,17","13,20","12,88","24,76M","-0,84%"
"26.09.2023","13,10","13,22","13,33","13,08","15,04M","-2,24%"
"25.09.2023","13,40","13,46","13,48","13,20","34,58M","-2,55%"
"22.09.2023","13,75","13,88","13,99","13,74","16,41M","0,73%"
"21.09.2023","13,65","13,79","13,86","13,63","20,55M","-3,87%"
"20.09.2023","14,20","14,22","14,35","14,18","16,02M","0,57%"
"19.09.2023","14,12","14,19","14,24","13,98","67,31M","0,07%"
"18.09.2023","14,11","14,37","14,40","14,11","31,13M","-1,47%"
"15.09.2023","14,32","14,59","14,59","14,27","18,51M","-0,56%"
"14.09.2023","14,40","14,16","14,48","14,14","31,66M","5,11%"
"13.09.2023","13,70","13,64","13,78","13,63","13,48M","0,74%"
"12.09.2023","13,60","13,65","13,78","13,59","10,81M","-0,66%"
"11.09.2023","13,69","13,74","13,82","13,67","18,74M","2,85%"
"08.09.2023","13,31","13,31","13,37","13,26","12,09M","0,99%"
"07.09.2023","13,18","13,42","13,49","13,14","13,50M","-3,23%"
"06.09.2023","13,62","13,84","14,03","13,60","15,95M","-1,87%"
"05.09.2023","13,88","13,92","13,98","13,82","13,21M","-0,79%"
"01.09.2023","13,99","13,73","14,00","13,66","34,56M","6,23%"
"31.08.2023","13,17","13,36","13,42","13,15","15,77M","-1,20%"
"30.08.2023","13,33","13,43","13,46","13,25","10,98M","0,00%"
"29.08.2023","13,33","12,99","13,38","12,93","21,72M","3,17%"
"28.08.2023","12,92","12,81","12,95","12,76","9,68M","1,41%"
"25.08.2023","12,74","12,77","12,83","12,65","13,18M","0,08%"
"24.08.2023","12,73","12,71","12,83","12,63","13,10M","-1,85%"
"23.08.2023","12,97","12,81","13,05","12,78","17,65M","2,21%"
"22.08.2023","12,69","12,58","12,72","12,50","19,37M","3,17%"
"21.08.2023","12,30","12,26","12,38","12,22","17,28M","-0,08%"
"18.08.2023","12,31","12,34","12,43","12,26","22,48M","-0,65%"
"17.08.2023","12,39","12,55","12,60","12,35","28,71M","0,90%"
"16.08.2023","12,28","12,24","12,43","12,22","19,02M","0,08%"
"15.08.2023","12,27","12,37","12,39","12,24","24,39M","-1,60%"
"14.08.2023","12,47","12,65","12,65","12,45","26,18M","-6,38%"
"11.08.2023","13,32","13,46","13,51","13,28","29,02M","-1,33%"
"10.08.2023","13,50","13,72","13,78","13,49","15,10M","-0,74%"
"09.08.2023","13,60","13,79","13,85","13,57","15,38M","-1,09%"
"08.08.2023","13,75","13,50","13,90","13,42","27,13M","-0,87%"
"07.08.2023","13,87","13,73","13,90","13,60","14,91M","0,29%"
"04.08.2023","13,83","13,91","14,06","13,81","25,71M","0,22%"
"03.08.2023","13,80","13,73","13,89","13,62","26,30M","-0,72%"
"02.08.2023","13,90","14,04","14,06","13,87","19,28M","-1,77%"
"01.08.2023","14,15","14,32","14,38","14,14","19,54M","-3,28%"
"31.07.2023","14,63","14,39","14,66","14,38","22,07M","2,74%"
"28.07.2023","14,24","14,52","14,62","14,23","31,63M","-3,72%"
"27.07.2023","14,79","14,94","15,00","14,77","25,22M","-2,05%"
"26.07.2023","15,10","15,04","15,26","14,92","20,94M","-0,46%"
"25.07.2023","15,17","15,20","15,31","15,09","38,29M","3,13%"
"24.07.2023","14,71","14,22","14,83","14,21","20,95M","3,66%"
"21.07.2023","14,19","14,13","14,26","14,05","12,21M","1,00%"
"20.07.2023","14,05","14,22","14,29","14,04","14,27M","0,00%"
"19.07.2023","14,05","14,00","14,13","13,94","12,09M","0,14%"
"18.07.2023","14,03","14,02","14,19","13,95","9,01M","-0,28%"
"17.07.2023","14,07","14,04","14,13","13,83","15,27M","-1,54%"
"14.07.2023","14,29","14,35","14,41","14,20","17,44M","-0,35%"
"13.07.2023","14,34","14,15","14,35","14,11","22,77M","2,94%"
"12.07.2023","13,93","14,05","14,10","13,92","17,23M","1,53%"
"11.07.2023","13,72","13,24","13,78","13,24","38,74M","3,86%"
"10.07.2023","13,21","13,21","13,36","13,19","16,90M","-1,42%"
"07.07.2023","13,40","13,20","13,49","13,18","24,67M","1,75%"
"06.07.2023","13,17","13,29","13,43","13,09","23,39M","-1,64%"
"05.07.2023","13,39","13,50","13,52","13,34","27,23M","-2,69%"
"03.07.2023","13,76","13,67","13,87","13,65","13,97M","2,53%"
"30.06.2023","13,42","13,59","13,60","13,39","17,53M","-0,74%"
"29.06.2023","13,52","13,32","13,56","13,31","17,98M","1,43%"
"28.06.2023","13,33","13,63","13,65","13,32","24,68M","-4,17%"
"27.06.2023","13,91","14,00","14,07","13,84","15,82M","0,87%"
"26.06.2023","13,79","13,69","13,90","13,67","12,70M","0,66%"
"23.06.2023","13,70","13,70","13,76","13,59","20,92M","-1,51%"
"22.06.2023","13,91","14,07","14,07","13,85","26,13M","-0,50%"
"21.06.2023","13,98","14,00","14,04","13,90","25,52M","-0,50%"
"20.06.2023","14,05","14,24","14,24","14,01","24,52M","-2,70%"
"16.06.2023","14,44","14,33","14,55","14,28","20,76M","-0,21%"
"15.06.2023","14,47","14,28","14,48","14,21","19,12M","1,54%"
"14.06.2023","14,25","14,26","14,36","14,07","29,90M","2,52%"
"13.06.2023","13,90","14,10","14,13","13,90","22,86M","0,94%"
"12.06.2023","13,77","13,81","13,82","13,62","17,91M","-1,92%"
"09.06.2023","14,04","14,15","14,28","14,00","26,76M","-0,35%"
"08.06.2023","14,09","14,04","14,10","13,92","15,33M","1,08%"
"07.06.2023","13,94","13,78","13,95","13,74","24,26M","1,46%"
"06.06.2023","13,74","13,74","13,92","13,72","23,12M","0,96%"
"05.06.2023","13,61","13,78","13,81","13,54","20,64M","-0,51%"
"02.06.2023","13,68","13,71","13,77","13,56","29,30M","4,91%"
"01.06.2023","13,04","12,81","13,10","12,76","52,73M","2,84%"
"31.05.2023","12,68","12,64","12,77","12,51","45,25M","-0,63%"
"30.05.2023","12,76","12,92","12,92","12,58","30,42M","-3,77%"
"26.05.2023","13,26","13,27","13,38","13,14","19,33M","3,03%"
"25.05.2023","12,87","13,06","13,09","12,84","19,23M","-1,91%"
"24.05.2023","13,12","13,21","13,23","13,06","18,93M","-1,72%"
"23.05.2023","13,35","13,50","13,51","13,32","16,84M","-2,48%"
"22.05.2023","13,69","13,83","13,83","13,67","12,97M","-1,23%"
"19.05.2023","13,86","14,00","14,01","13,81","21,90M","-1,63%"
"18.05.2023","14,09","14,02","14,11","13,88","17,36M","-0,49%"
"17.05.2023","14,16","13,94","14,23","13,94","16,91M","3,43%"
"16.05.2023","13,69","13,98","14,07","13,64","15,39M","-2,77%"
"15.05.2023","14,08","14,04","14,13","13,94","17,71M","2,18%"
"12.05.2023","13,78","13,69","13,90","13,67","12,43M","0,51%"
"11.05.2023","13,71","13,54","13,79","13,49","22,35M","-2,07%"
"10.05.2023","14,00","14,25","14,26","13,81","20,20M","-0,71%"
"09.05.2023","14,10","13,73","14,18","13,69","19,58M","1,44%"
"08.05.2023","13,90","14,24","14,29","13,90","19,18M","0,00%"
"05.05.2023","13,90","13,56","14,02","13,56","22,99M","4,04%"
"04.05.2023","13,36","13,70","13,71","13,25","28,49M","-3,12%"
"03.05.2023","13,79","13,83","13,94","13,66","18,40M","0,15%"
"02.05.2023","13,77","14,17","14,18","13,71","22,69M","-3,03%"
"01.05.2023","14,20","14,37","14,43","14,06","9,67M","-1,46%"
"28.04.2023","14,41","14,26","14,44","14,19","20,75M","0,56%"
"27.04.2023","14,33","13,82","14,37","13,78","29,29M","3,17%"
