"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"29.12.2023","356,66","357,56","357,86","355,31","3,27M","-0,25%"
"28.12.2023","357,57","357,48","358,68","356,73","2,74M","0,17%"
"27.12.2023","356,95","355,93","357,08","355,50","2,48M","0,03%"
"26.12.2023","356,83","356,90","357,77","356,08","1,97M","0,10%"
"22.12.2023","356,47","356,50","358,26","355,41","2,33M","0,09%"
"21.12.2023","356,14","356,02","357,20","353,63","2,85M","0,22%"
"20.12.2023","355,35","361,52","361,66","355,12","3,93M","-1,78%"
"19.12.2023","361,80","360,15","362,55","359,09","3,09M","0,60%"
"18.12.2023","359,65","357,42","361,14","357,00","4,53M","0,88%"
"15.12.2023","356,50","357,63","358,00","354,20","8,58M","-0,45%"
"14.12.2023","358,12","364,05","364,05","356,38","5,52M","-1,08%"
"13.12.2023","362,03","360,19","362,15","359,04","3,16M","0,56%"
"12.12.2023","360,02","357,90","360,40","356,76","3,19M","0,83%"
"11.12.2023","357,06","355,00","357,49","354,21","3,11M","1,13%"
"08.12.2023","353,08","353,00","353,67","351,02","3,29M","0,11%"
"07.12.2023","352,70","352,00","353,02","350,85","2,83M","0,09%"
"06.12.2023","352,38","356,15","357,45","351,89","3,04M","-0,75%"
"05.12.2023","355,03","355,23","356,60","352,29","3,28M","-0,46%"
"04.12.2023","356,66","355,91","357,83","353,79","3,05M","-0,11%"
"01.12.2023","357,07","359,94","360,24","355,30","4,71M","-0,81%"
"30.11.2023","360,00","359,45","360,43","358,42","4,61M","0,37%"
"29.11.2023","358,69","360,95","361,52","358,30","3,14M","-0,38%"
"28.11.2023","360,05","361,55","362,12","359,21","2,96M","-0,36%"
"27.11.2023","361,34","362,64","362,64","359,58","2,58M","-0,37%"
"24.11.2023","362,68","362,51","363,19","361,24","1,28M","0,24%"
"22.11.2023","361,80","361,76","362,46","360,05","2,11M","0,22%"
"21.11.2023","361,00","360,58","363,03","360,25","2,92M","-0,09%"
"20.11.2023","361,33","359,35","362,61","358,18","3,22M","0,67%"
"17.11.2023","358,93","360,47","360,56","358,07","3,26M","-0,26%"
"16.11.2023","359,86","357,79","360,00","357,23","2,83M","0,86%"
"15.11.2023","356,79","355,02","357,31","354,48","3,58M","0,72%"
"14.11.2023","354,25","352,52","355,95","351,25","3,39M","1,21%"
"13.11.2023","350,01","350,09","350,65","348,81","2,20M","-0,16%"
"10.11.2023","350,56","349,60","351,20","348,60","3,70M","0,68%"
"09.11.2023","348,18","347,64","350,11","346,88","3,05M","0,54%"
"08.11.2023","346,30","346,85","348,00","344,69","2,60M","0,04%"
"07.11.2023","346,17","346,81","346,95","344,30","3,06M","-0,13%"
"06.11.2023","346,63","354,03","354,03","344,06","5,49M","-1,47%"
"03.11.2023","351,81","350,17","354,35","349,79","4,41M","0,80%"
"02.11.2023","349,02","346,39","349,39","344,50","3,44M","1,53%"
"01.11.2023","343,75","341,21","345,33","340,58","2,79M","0,71%"
"31.10.2023","341,33","337,95","341,49","337,50","3,07M","1,16%"
"30.10.2023","337,41","332,96","338,36","332,17","2,64M","1,72%"
"27.10.2023","331,71","336,12","336,19","330,58","3,61M","-1,32%"
"26.10.2023","336,16","337,07","338,32","335,46","2,69M","-0,22%"
"25.10.2023","336,90","338,59","339,62","336,55","2,62M","-0,51%"
"24.10.2023","338,63","338,18","339,85","337,77","2,36M","0,53%"
"23.10.2023","336,84","334,07","338,88","333,49","2,80M","0,29%"
"20.10.2023","335,86","338,15","340,00","334,35","3,47M","-0,83%"
"19.10.2023","338,66","340,31","342,69","338,45","2,75M","-0,65%"
"18.10.2023","340,89","344,72","344,83","339,96","2,98M","-1,30%"
"17.10.2023","345,39","346,18","348,41","344,15","3,00M","-0,24%"
"16.10.2023","346,23","348,00","349,94","345,83","3,12M","0,33%"
"13.10.2023","345,09","346,00","348,44","343,88","2,81M","-0,16%"
"12.10.2023","345,66","348,21","348,66","343,02","2,68M","-0,79%"
"11.10.2023","348,43","349,38","349,60","344,92","2,62M","-0,04%"
"10.10.2023","348,56","347,00","349,51","345,50","2,86M","0,90%"
"09.10.2023","345,45","344,24","345,90","342,83","2,76M","-0,26%"
"06.10.2023","346,34","344,10","348,76","341,86","3,18M","0,37%"
"05.10.2023","345,06","343,70","345,94","342,37","3,03M","0,40%"
"04.10.2023","343,69","342,92","344,01","339,51","3,25M","0,19%"
"03.10.2023","343,04","347,39","348,24","342,13","3,15M","-1,45%"
"02.10.2023","348,08","349,64","350,00","345,41","3,53M","-0,63%"
"29.09.2023","350,30","357,30","357,50","348,55","4,94M","-1,89%"
"28.09.2023","357,06","357,80","359,47","356,67","2,73M","-0,20%"
"27.09.2023","357,78","360,01","360,52","354,27","3,54M","-0,46%"
"26.09.2023","359,42","359,80","360,79","357,95","3,07M","-0,63%"
"25.09.2023","361,71","359,01","361,89","357,27","2,56M","0,43%"
"22.09.2023","360,16","362,78","363,42","359,76","3,97M","-0,86%"
"21.09.2023","363,28","366,56","367,20","362,94","3,18M","-0,97%"
"20.09.2023","366,82","371,33","371,34","366,73","2,27M","-0,99%"
"19.09.2023","370,48","371,64","373,34","368,46","2,61M","0,01%"
"18.09.2023","370,43","369,33","371,33","367,79","3,13M","0,70%"
"15.09.2023","367,86","368,52","370,20","367,52","11,62M","-0,44%"
"14.09.2023","369,50","370,10","370,22","368,26","3,68M","0,46%"
"13.09.2023","367,82","369,33","370,84","365,97","3,27M","0,01%"
"12.09.2023","367,78","365,65","370,43","365,47","2,90M","0,62%"
"11.09.2023","365,52","364,87","366,61","364,51","2,93M","0,65%"
"08.09.2023","363,15","362,52","364,83","361,77","3,02M","0,37%"
"07.09.2023","361,80","360,96","363,30","360,87","3,26M","0,04%"
"06.09.2023","361,67","360,02","362,80","359,26","2,66M","0,33%"
"05.09.2023","360,47","363,88","366,47","360,00","2,98M","-0,55%"
"01.09.2023","362,46","362,00","363,39","360,60","2,64M","0,63%"
"31.08.2023","360,20","362,18","362,47","359,25","2,85M","-0,24%"
"30.08.2023","361,06","358,63","362,68","358,60","3,06M","0,77%"
"29.08.2023","358,29","355,04","358,59","354,01","2,29M","0,77%"
"28.08.2023","355,55","357,89","358,41","354,53","1,73M","-0,11%"
"25.08.2023","355,93","354,99","357,35","352,92","2,14M","0,46%"
"24.08.2023","354,30","354,35","357,23","354,13","2,53M","0,01%"
"23.08.2023","354,26","351,63","354,32","351,54","2,24M","1,05%"
"22.08.2023","350,57","353,01","353,50","349,66","2,37M","-0,43%"
"21.08.2023","352,09","354,09","354,18","349,61","2,54M","-0,13%"
"18.08.2023","352,56","351,47","354,30","351,25","2,87M","-0,18%"
"17.08.2023","353,19","354,01","356,30","351,88","2,85M","-0,26%"
"16.08.2023","354,11","354,60","358,72","353,38","2,20M","-0,11%"
"15.08.2023","354,50","357,00","357,92","353,67","2,87M","-1,11%"
"14.08.2023","358,48","358,25","358,95","356,81","1,99M","0,04%"
"11.08.2023","358,35","356,26","359,25","353,20","2,48M","0,38%"
"10.08.2023","356,98","359,36","362,35","355,92","3,10M","-0,29%"
"09.08.2023","358,02","364,20","364,43","356,06","4,43M","-1,57%"
"08.08.2023","363,73","359,42","364,25","358,85","3,43M","0,32%"
"07.08.2023","362,58","355,73","364,63","355,15","5,39M","3,60%"
"04.08.2023","349,99","353,99","355,11","349,39","2,84M","-1,08%"
"03.08.2023","353,81","350,29","354,47","349,42","2,94M","0,75%"
"02.08.2023","351,19","351,45","352,89","349,69","3,09M","-0,30%"
"01.08.2023","352,26","352,03","353,42","351,25","2,30M","0,09%"
"31.07.2023","351,96","350,73","352,33","350,21","2,62M","0,61%"
"28.07.2023","349,81","349,93","351,00","348,32","2,47M","0,14%"
"27.07.2023","349,31","350,69","351,27","348,60","2,71M","-0,14%"
"26.07.2023","349,80","347,56","351,09","347,52","2,68M","0,64%"
"25.07.2023","347,58","349,32","349,66","345,54","3,02M","-0,59%"
"24.07.2023","349,63","346,77","351,19","346,28","3,27M","1,12%"
"21.07.2023","345,76","346,76","347,62","345,10","3,30M","-0,25%"
"20.07.2023","346,61","343,09","346,79","342,85","3,15M","1,22%"
"19.07.2023","342,43","344,21","345,38","341,99","3,04M","-0,84%"
"18.07.2023","345,34","344,05","347,25","343,54","2,57M","0,32%"
"17.07.2023","344,25","341,09","345,72","341,09","2,36M","0,93%"
"14.07.2023","341,09","344,99","345,00","340,51","2,68M","-0,71%"
"13.07.2023","343,54","345,60","346,20","343,45","2,83M","-0,52%"
"12.07.2023","345,35","345,29","346,44","344,31","2,90M","0,58%"
"11.07.2023","343,37","341,23","343,84","340,92","2,76M","0,66%"
"10.07.2023","341,13","340,48","343,48","339,86","2,97M","0,07%"
"07.07.2023","340,90","340,52","344,07","340,39","2,94M","-0,16%"
"06.07.2023","341,46","339,75","341,80","338,91","2,55M","-0,03%"
"05.07.2023","341,56","340,05","341,89","338,70","2,88M","-0,13%"
"03.07.2023","342,00","340,75","342,08","338,41","2,05M","0,29%"
"30.06.2023","341,00","338,78","342,50","338,40","4,52M","1,21%"
"29.06.2023","336,91","334,26","337,01","334,14","2,50M","0,83%"
"28.06.2023","334,15","336,05","336,40","332,61","3,22M","-0,35%"
"27.06.2023","335,34","334,39","336,73","334,37","2,63M","0,37%"
"26.06.2023","334,12","335,17","335,83","331,84","3,22M","-0,34%"
"23.06.2023","335,25","335,10","337,47","334,19","4,45M","-0,51%"
"22.06.2023","336,96","338,84","338,85","335,66","3,30M","-0,49%"
"21.06.2023","338,61","337,30","341,35","336,37","4,51M","-0,02%"
"20.06.2023","338,67","338,15","339,28","336,62","3,75M","0,11%"
